rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
66위,내셔널지오그래픽,N214UDW920헤론라이트덕U넥다운경량패딩점퍼LBEIGE,"149,000원",-,0,3,-
67위,유니온블루,LAUNDRYSHIRT(SKYBLUE),"62,000원","56,000원",1,7,3/25배송 예정
68위,폴로 랄프 로렌,커스텀핏옥스포드셔츠-화이트,"179,000원",-,0,999,-
69위,엘무드,화란세미오버니트블랙,"89,900원","63,900원",1,15,-
70위,제로,DeepOneTuckSweatPants[Black],"39,000원",-,1,6,-
71위,라퍼지 포 우먼,[Woman]버핑레더미니멀블루종_Black,"87,000원","69,800원",0,33,2/25배송 예정
72위,말본 골프,M버킷클래식보스턴백GREEN,"399,000원",-,0,568,-
73위,알파 인더스트리,MA-1루즈핏라글란사이드짚Black,"259,000원",-,1,41,-
74위,아디다스,베켄바우어트랙탑-블랙/H09112,"99,000원","84,900원",0,93,-
75위,앤더슨벨 포 우먼,포레더패치트러커자켓awa428w(BLUE/BROWN),"405,000원",-,0,999,-
76위,골든구스,남성슈퍼스타골드탭골드스타스니커즈-화이트:골드스파클/GMF00101F00031610272,"698,000원","399,000원",0,999,새벽배송 예정
77위,컨버스,척70클래식파치먼트162053C,"99,000원","89,100원",1,34,-
78위,로맨틱무브,뉴탐페레첼시부츠R17M077(블랙),"198,000원","139,000원",1,5,-
79위,반스,올드스쿨-(러브미/러브미낫)데이지:트루화이트/VN0A5KRFB0B1,"89,000원",-,0,144,-
80위,모드나인,[베스트아이템]BlackStardust-MOD1w,"106,000원","68,900원",1,18,-
81위,브렌슨,[패키지]와이드핏트레이닝스웨트팬츠,"66,800원","38,900원",1,5,-
82위,예일,(22ALL)2TONEARCHHOODIEGRAY,"79,000원","55,300원",0,1,-
83위,컨버스,런스타하이크블랙166800C,"109,000원","98,100원",1,43,-
84위,유니온블루,LAUNDRYSHIRT(WHITE),"62,000원","56,000원",0,132,3/25배송 예정
85위,와릿이즌,엔젤와펜후드그레이,"69,000원","41,400원",1,28,-
86위,리,코듀라로우데님1st모델트러커자켓,"109,000원","87,200원",0,11,-
87위,오더플리즈,ODPL와이드데님핏내츄럴크림진,"62,000원","36,900원",0,16,-
88위,식스핏,[베스트아이템]5INOG-오리지널독일군스니커즈,"99,000원","59,400원",1,30,2/14배송 예정
89위,인사일런스,크롭코튼블루종BLACK,"174,000원","147,000원",0,102,-
90위,엄브로,DANKERLIGHT(댄커라이트)블랙(UN123CBP17),"149,000원",-,1,46,-
1위,컨버스,척70클래식블랙162050C,"99,000원","89,100원",0,1,-
2위,엘무드,웨이비바시티재킷네이비,"198,000원","158,400원",1,1,3/18배송 예정
3위,나이키,데이브레이크운동화CK2351-101,"199,000원","118,700원",-,-,-
4위,컨버스,척70클래식블랙162058C,"95,000원","85,500원",-,-,-
5위,제로,DeepOneTuckSweatPants[Grey],"39,000원",-,1,2,-
6위,라퍼지스토어,[이동휘착용][리뉴얼ver.][3M신슐레이트]오리지널M-1965피쉬테일파카_OriginalKhaki,"138,000원","99,900원",-,-,-
7위,도프제이슨,오버핏비건레더싱글자켓,"119,000원","89,000원",0,1,2/25배송 예정
8위,토피,2WAY스웻후드집업(MELANGEGREY),"45,000원","39,000원",0,1,-
9위,반스,컴피쿠시원-(체커보드)블랙:마시멜로우,"109,000원",-,1,4,-
10위,후러브스아트,유니섹스세미와이드밴딩슬랙스,"54,000원","29,900원",0,1,-
11위,예일,WARMUPQUILTINGJACKETBLACK,"99,000원","64,350원",1,4,-
12위,드로우핏,와이드밴딩치노팬츠[BEIGE],"66,000원","59,400원",0,4,2/25배송 예정
13위,드로우핏,소프울루즈핏가디건[WARMGREY],"82,000원","65,600원",0,2,-
14위,벌스데이수트,STADIUMJACKET(NAVY),"198,000원",-,0,67,3/14배송 예정
15위,파르티멘토,[비건레더]필드자켓블랙,"111,700원","89,900원",1,2,-
16위,노스페이스,NM2DN01J슈퍼팩,"159,000원","143,100원",0,13,-
17위,반스,올드스쿨36DX-(애너하임팩토리)-블랙:화이트/VN0A38G2PXC1,"99,000원",-,0,8,-
18위,드로우핏,오버핏옥스퍼드셔츠[WHITE],"55,000원","49,500원",0,1,2/18배송 예정
19위,인사일런스,울싱글트렌치코트MUDBROWN,"249,000원","211,000원",0,37,-
20위,엘무드,화란세미오버가디건블랙,"94,900원","76,400원",1,6,-
21위,무신사 스탠다드,[유아인착용상품]세미와이드히든밴딩슬랙스[블랙],"32,900원",-,1,1,-
22위,예일,THINKPACK,"119,000원","79,000원",0,19,3/18배송 예정
23위,아디다스,BW독일군스니커즈-화이트/BZ0579,"139,000원","119,900원",1,11,-
24위,마르디 메크르디,[베스트아이템]SWEATSHIRTFLOWERMARDI_OATMEALBLACK,"75,000원","67,500원",0,29,-
25위,슈펜,[핏더사이즈X슈펜]Seku-shi(세쿠시)첼시부읏츠BYTM20W12,"139,000원","132,000원",0,12,-
26위,컨버스,척70클래식파치먼트162062C,"95,000원","85,500원",1,3,-
27위,인사일런스,오버사이즈울블레이저BLACK,"172,000원","137,000원",1,1,-
28위,소니,WH-1000XM4노이즈캔슬링블루투스헤드폰,"459,000원","399,000원",1,18,-
29위,토피,와이드데님팬츠(DEEPGREY),"49,000원","44,100원",1,7,-
30위,토피,와이드데님팬츠(LIGHTBLUE),"49,000원","44,100원",1,9,-
31위,알파 인더스트리,MA-1레귤러Black,"225,000원",-,0,197,-
32위,무신사 스탠다드,[베스트아이템]테이퍼드히든밴딩크롭슬랙스[블랙],"32,900원","29,590원",0,1,-
33위,무신사 스탠다드,[유아인착용상품]와이드히든밴딩슬랙스[블랙],"32,900원",-,0,2,-
34위,라퍼지스토어,울리치발마칸오버코트_Black,"173,000원","108,000원",-,-,-
35위,컨버스,척테일러올스타블랙옥스M9166C,"55,000원",-,0,17,-
36위,라퍼지스토어,[이동휘착용][리뉴얼ver.][3M신슐레이트]오리지널M-1965피쉬테일파카_VintageBlack,"138,000원","99,900원",0,98,-
37위,반스,[베스트아이템]올드스쿨MTE-1-블랙:화이트/VN0A5I12Y281,"99,000원","68,900원",1,10,-
38위,라퍼지스토어,버핑레더미니멀포켓블루종_Black,"94,000원","69,900원",0,21,-
39위,무신사 스탠다드,[유아인착용상품]릴렉스드베이식블레이저[블랙],"71,900원",-,1,3,-
40위,무신사 스탠다드,베이식블레이저[블랙],"70,900원","63,790원",0,8,-
41위,라퍼지 포 우먼,울리치트렌치맥코트_Black,"163,000원","108,000원",1,23,-
42위,반스,컴피쿠시원-(체커보드)마시멜로우:블랙,"109,000원",-,0,2,-
43위,유니온블루,LAUNDRYSHIRT(LEMON),"62,000원","56,000원",0,6,3/25배송 예정
44위,디스커버리 익스페디션,라이크에어시프트백팩(BLACK),"169,000원",-,1,27,-
45위,반스,어센틱-레드/VN000EE3RED1,"69,000원",-,1,7,-
46위,커버낫,어센틱로고럭색33L블랙,"99,000원","89,100원",0,42,-
47위,에스에스알엘,dualpocketmessengerbag/black,"119,000원","92,800원",0,79,-
48위,하 아카이브,아크블랙메신저백,"79,000원","75,050원",1,17,-
49위,도프제이슨,오버핏램스킨싱글자켓,"339,000원","225,000원",1,25,-
50위,로맨틱무브,베이스먼트더비R21M042(BX블랙),"168,000원","124,000원",0,39,-
51위,토피,와이드조거스웻팬츠(MELANGEGREY),"39,000원","36,000원",1,9,-
52위,도프제이슨,[프리미엄]오버핏램스킨베지터블보머자켓,"410,000원","330,000원",1,22,2/17배송 예정
53위,디스커버리 익스페디션,조거플렉스FLEX(LIGHTBEIGE),"109,000원",-,0,40,-
54위,코드그라피,[SET]YKK2-WAY테크숏자켓셋업_블랙,"127,900원","79,900원",0,24,-
55위,라퍼지스토어,[리뉴얼ver.][3M신슐레이트]M-1965피쉬테일숏파카_VintageBlack,"129,000원","79,800원",0,13,3/2배송 예정
56위,플랙,스티즈B31인디고로우,"129,000원","59,000원",1,10,-
57위,무신사 스탠다드,레이어드크루넥반팔티셔츠_긴기장[화이트],"13,900원",-,1,2,-
58위,드로우핏,오버사이즈울트렌치코트[BLACK],"209,000원","156,700원",0,107,-
59위,도프제이슨,[프리미엄]오버핏램스킨베지터블오일보머자켓(카멜),"410,000원","330,000원",0,188,2/25배송 예정
60위,라퍼지스토어,[매트블랙]버핑레더미니멀포켓블루종_MattBlack,"94,000원","69,900원",1,21,2/28배송 예정
61위,아식스,조그1002-블랙:블랙/TJG138-9090,"69,000원",-,0,61,-
62위,티엔지티,미드나잇그린오버핏디테쳐블후드MA-1항공점퍼(TNJU2E701E2),"229,000원","206,100원",0,999,-
63위,아디다스,알파바운스슬라이드-블랙:화이트/BA8775,"59,000원","49,900원",0,35,-
64위,코드그라피,[SET]YKK2-WAY테크숏자켓셋업_그레이,"127,900원","79,900원",0,37,-
65위,가까이 유니언즈,원턱와이드스웨트팬츠그레이,"52,000원","36,400원",0,14,-
66위,내셔널지오그래픽,N214UDW920헤론라이트덕U넥다운경량패딩점퍼LBEIGE,"149,000원",-,0,3,-
67위,유니온블루,LAUNDRYSHIRT(SKYBLUE),"62,000원","56,000원",1,7,3/25배송 예정
68위,폴로 랄프 로렌,커스텀핏옥스포드셔츠-화이트,"179,000원",-,0,999,-
69위,엘무드,화란세미오버니트블랙,"89,900원","63,900원",1,15,-
70위,제로,DeepOneTuckSweatPants[Black],"39,000원",-,1,6,-
71위,라퍼지 포 우먼,[Woman]버핑레더미니멀블루종_Black,"87,000원","69,800원",0,33,2/25배송 예정
72위,말본 골프,M버킷클래식보스턴백GREEN,"399,000원",-,0,568,-
73위,알파 인더스트리,MA-1루즈핏라글란사이드짚Black,"259,000원",-,1,41,-
74위,아디다스,베켄바우어트랙탑-블랙/H09112,"99,000원","84,900원",0,93,-
75위,앤더슨벨 포 우먼,포레더패치트러커자켓awa428w(BLUE/BROWN),"405,000원",-,0,999,-
76위,골든구스,남성슈퍼스타골드탭골드스타스니커즈-화이트:골드스파클/GMF00101F00031610272,"698,000원","399,000원",0,999,새벽배송 예정
77위,컨버스,척70클래식파치먼트162053C,"99,000원","89,100원",1,34,-
78위,로맨틱무브,뉴탐페레첼시부츠R17M077(블랙),"198,000원","139,000원",1,5,-
79위,반스,올드스쿨-(러브미/러브미낫)데이지:트루화이트/VN0A5KRFB0B1,"89,000원",-,0,144,-
80위,모드나인,[베스트아이템]BlackStardust-MOD1w,"106,000원","68,900원",1,18,-
81위,브렌슨,[패키지]와이드핏트레이닝스웨트팬츠,"66,800원","38,900원",1,5,-
82위,예일,(22ALL)2TONEARCHHOODIEGRAY,"79,000원","55,300원",0,1,-
83위,컨버스,런스타하이크블랙166800C,"109,000원","98,100원",1,43,-
84위,유니온블루,LAUNDRYSHIRT(WHITE),"62,000원","56,000원",0,132,3/25배송 예정
85위,와릿이즌,엔젤와펜후드그레이,"69,000원","41,400원",1,28,-
86위,리,코듀라로우데님1st모델트러커자켓,"109,000원","87,200원",0,11,-
87위,오더플리즈,ODPL와이드데님핏내츄럴크림진,"62,000원","36,900원",0,16,-
88위,식스핏,[베스트아이템]5INOG-오리지널독일군스니커즈,"99,000원","59,400원",1,30,2/14배송 예정
89위,인사일런스,크롭코튼블루종BLACK,"174,000원","147,000원",0,102,-
90위,엄브로,DANKERLIGHT(댄커라이트)블랙(UN123CBP17),"149,000원",-,1,46,-
91위,도프제이슨,[프리미엄]램스킨베지터블싱글자켓,"410,000원","330,000원",0,999,-
92위,엘무드,화란세미오버가디건클라우드그레이,"94,900원","76,400원",1,30,-
93위,알파 인더스트리,MA-1레귤러GunMetal,"225,000원",-,0,214,-
94위,코드그라피,[송필드PICK][SET]헤비웨이트CGP아치로고트레이닝셋업_그레이,"97,900원","69,900원",0,42,3/18배송 예정
95위,로서울,JutymediumshoulderbagCreamyTan,"338,000원",-,-,-,-
96위,드로우핏,울블렌딩발마칸오버코트[BLACK],"209,000원","167,200원",0,90,-
97위,로우랩,[SET]RAW빈티지어센틱로고트레이닝셋업(오트밀),"107,000원","74,900원",0,100,-
98위,제로,ClassicSweatPants[Grey],"39,000원",-,0,40,-
99위,컨버스,척테일러올스타캔버스리프트화이트560251C,"75,000원","67,500원",0,62,-
100위,인사일런스,오버사이즈트렌치코트BLACK,"199,000원","159,000원",0,131,-
101위,디스커버리 익스페디션,버킷디워커V2(WHITE),"139,000원",-,1,10,-
102위,무신사 스탠다드,와이드히든밴딩슬랙스[미디엄그레이],"32,900원",-,1,1,-
103위,제이에스티나,InfinitaCouple여반지(JJMBCQ7AS158C4120),"350,000원","315,000원",0,999,-
104위,반스,스타일36-마쉬멜로우:레이싱레드/VN0A3DZ3OXS1,"79,000원",-,1,34,-
